contest_id,contest_type,A,A_date,B,B_date,C,C_date,D,D_date,E,E_date
226,abc,1,27 Nov 2021,0,,,,,,,
227,abc,1,27 Nov 2021,0,,,,,,,
228,abc,1,27 Nov 2021,0,,,,,,,
229,abc,1,27 Nov 2021,1,27 Nov 2021,,,,,,
